"﻿""view_name""","source_id","replica_id","unid","form","title","doc_date","onenote_page_id","onenote_web_url","onenote_client_url","url_from_error","migration_status","error_message","processed_at","link_resolution_status","documentdate","documentno","entryuser","status","system","subsystem","fd_text_1","worktime","ask","askuser","documentdate_2","replydate","detailsubject","reasonsubject_1","view_name"
"VwData_Patch_1_3ALL","49258C3000042207_77D842F3D68001B049257F31001B5736","49258C3000042207","77D842F3D68001B049257F31001B5736","","ロット別商品受払の不正レコード削除","2016/01/05","1-45cd53994ac24fafa646d75c19ecff46!87-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E3%83%AD%E3%83%83%E3%83%88%E5%88%A5%E5%95%86%E5%93%81%E5%8F%97%E6%89%95%E3%81%AE%E4%B8%8D%E6%AD%A3%E3%83%AC%E3%82%B3%E3%83%BC%E3%83%89%E5%89%8A%E9%99%A4%7C3d4c3c85-a81f-4954-8e04-d499a3b90ab9%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E3%83%AD%E3%83%83%E3%83%88%E5%88%A5%E5%95%86%E5%93%81%E5%8F%97%E6%89%95%E3%81%AE%E4%B8%8D%E6%AD%A3%E3%83%AC%E3%82%B3%E3%83%BC%E3%83%89%E5%89%8A%E9%99%A4&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=3d4c3c85-a81f-4954-8e04-d499a3b90ab9&end","","done","","2026-04-14T21:54:16","HAS_LINK_UNRESOLVED","2016/01/05","1150","鞍田 淑子","完了承認済","食肉","04.在庫（食肉）","ロット別商品受払の不正レコード削除","30","ＮＨＢＥ㈱食肉事業","鞍田","2016/01/05","2016/01/05","プログラム不具合により発生している下記不正レコードを論理削除する。 ロット別商品受払(SH01DBF/SIT50P) 事業所　　：0464_大阪フローズンポーク 社内ロット：3058930 ロット別受払SEQ№：2 確定処理日:0 伝票番号：F317221-01 作業タイミング：随時 バックアップ：ロックの危険性があるため実施不要とする","プログラム不具合により不要な予定データが残ってしまったため、オンライン冷蔵庫在庫差異リスト・受払問合せに不正値が出力されている。→障害DB",""
"VwData_Patch_1_3ALL","49258C3000042207_6E558E6AE80530C749257F31002EEFAD","49258C3000042207","6E558E6AE80530C749257F31002EEFAD","","コードテーブル登録（非オンライン事業所コード）","2016/01/05","1-ecd12a19dc594315ad75f9d73fd6b3b0!61-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E3%82%B3%E3%83%BC%E3%83%89%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E7%99%BB%E9%8C%B2%EF%BC%88%E9%9D%9E%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BA%8B%E6%A5%AD%E6%89%80%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%89%7C1c15a90e-c5a2-46f0-b3a1-6180f971f5fd%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E3%82%B3%E3%83%BC%E3%83%89%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E7%99%BB%E9%8C%B2%EF%BC%88%E9%9D%9E%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BA%8B%E6%A5%AD%E6%89%80%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%89&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=1c15a90e-c5a2-46f0-b3a1-6180f971f5fd&end","","done","","2026-04-14T21:54:23","NO_LINK","2016/01/05","1151","池田 憲弘","完了承認済","フード","新販売システム","コードテーブル登録（非オンライン事業所コード）","30","関東日本フード㈱北越上越","フルセ","2016/01/05","2016/01/05","取引先：92767（ＮＨ東販売㈱新潟ＣＳ課）がオンライン対象の仕入れ先となっており、 前月仕入の訂正を行った際に、マイナス伝票がオンライン売上仕入に登録されてしまう。 非オンライン事業所として登録する。 コードデータ部定義（FMMCWP）に以下を新規登録する。 コードＩＤ（CWFM349X） ・・・ 'FE838C' コード値（CWFM361S） ・・・ '2767' コード値名称（漢字）（CWFM36","事業所マスターの設定により、オンライン取引先と判断されるが、 実際には東販売のため、オンライン対象ではない。 コードテーブルに非オンライン事業所コードとして登録する。",""
"VwData_Patch_1_3ALL","49258C3000042207_6199BFCF987C408149257F310041A46A","49258C3000042207","6199BFCF987C408149257F310041A46A","","未着データ修正依頼","2016/01/06","1-15e8c5b00c7246bbac70371665c06439!82-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E6%9C%AA%E7%9D%80%E3%83%87%E3%83%BC%E3%82%BF%E4%BF%AE%E6%AD%A3%E4%BE%9D%E9%A0%BC%7Cba60a745-ea9f-415e-9bf2-09a85745eb6d%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E6%9C%AA%E7%9D%80%E3%83%87%E3%83%BC%E3%82%BF%E4%BF%AE%E6%AD%A3%E4%BE%9D%E9%A0%BC&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=ba60a745-ea9f-415e-9bf2-09a85745eb6d&end","","done","","2026-04-14T21:54:30","NO_LINK","2016/01/06","1152","池田 憲弘","完了承認済","ＪＦＣ","新販売システム","未着データ修正依頼","60","ジャパンＦ．経理部","ウスバ","2016/01/06","2016/01/06","以下のプロセスについて、シップバックとなり、商品が入荷しない為、外貨管理台帳の修正をお願いします。","外貨管理台帳を別紙の通り修正をお願いします。 　プロセス№：2014IH-3024-01 　　　　　　　2015ST-0118-06 DFUにて、以下の変更を行う。 ■変更内容",""
"VwData_Patch_1_3ALL","49258C3000042207_9D347B52E392E58049257F32002267B3","49258C3000042207","9D347B52E392E58049257F32002267B3","","ＪＦＣオンライン仕入伝票の一部明細分割","2016/01/06","1-8c135dde028c41ba847b14fa5d2f475a!25-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%EF%BC%AA%EF%BC%A6%EF%BC%A3%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BB%95%E5%85%A5%E4%BC%9D%E7%A5%A8%E3%81%AE%E4%B8%80%E9%83%A8%E6%98%8E%E7%B4%B0%E5%88%86%E5%89%B2%7C8e2171ff-808a-4e21-a259-6dc88814bc43%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%EF%BC%AA%EF%BC%A6%EF%BC%A3%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BB%95%E5%85%A5%E4%BC%9D%E7%A5%A8%E3%81%AE%E4%B8%80%E9%83%A8%E6%98%8E%E7%B4%B0%E5%88%86%E5%89%B2&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=8e2171ff-808a-4e21-a259-6dc88814bc43&end","","done","","2026-04-14T21:54:38","NO_LINK","2016/01/06","1153","鞍田 淑子","完了承認済","食肉","03.仕入（食肉）","ＪＦＣオンライン仕入伝票の一部明細分割","30","ＮＨＢＥ㈱食肉事業","鞍田","2016/01/06","2016/01/06","①ジャパンから伝票日付が船積時12月→売上予定時1月で変更されてきた明細について、確定データと紐つかないように一旦各プロセス№をブランクにし、確定データ取込を実施する。（受信を一時停止してパッチ実施） 　→取込データは新規伝票として取り込まれる。 ②上記パッチ対象明細を12月伝票として取消確定する。※取消確定用のインターフェースデータを作成","ジャパンＷＴＮシステム側で12月伝票の3明細のうち2明細のみ確定した状態で社内締めを実施してしまった。 確定漏れの1明細を12月伝票のまま確定してもらえればよかったが、1月伝票でインターフェースされてきたため想定外のデータとして不正な伝票状態となってしまった。（伝票日付が混在する明細が1伝票のまま存在し、後付の伝票日付で上書きされてしまった） ■",""
"VwData_Patch_1_3ALL","49258C3000042207_59BFA89B2862F41349257F32002D879B","49258C3000042207","59BFA89B2862F41349257F32002D879B","","NFP青森)商品受払報および棚卸評価計算書","2016/01/06","1-20a48107539243adace01cd1c67078b7!81-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2FNFP%E9%9D%92%E6%A3%AE%5C%29%E5%95%86%E5%93%81%E5%8F%97%E6%89%95%E5%A0%B1%E3%81%8A%E3%82%88%E3%81%B3%E6%A3%9A%E5%8D%B8%E8%A9%95%E4%BE%A1%E8%A8%88%E7%AE%97%E6%9B%B8%7C0b208914-d237-4f29-a1f0-77f27ac4daec%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#NFP%E9%9D%92%E6%A3%AE%29%E5%95%86%E5%93%81%E5%8F%97%E6%89%95%E5%A0%B1%E3%81%8A%E3%82%88%E3%81%B3%E6%A3%9A%E5%8D%B8%E8%A9%95%E4%BE%A1%E8%A8%88%E7%AE%97%E6%9B%B8&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=0b208914-d237-4f29-a1f0-77f27ac4daec&end","","done","","2026-04-14T21:54:47","NO_LINK","2016/01/06","1154","見満 淳一郎","完了承認済","ＮＦＰ","10.評価計算（パッカー）","NFP青森)商品受払報および棚卸評価計算書","15","日本フードパッカー㈱青森工場","松井","2016/01/06","2016/01/06","（対象ファイル） PA01DBFFC/PMM37P（部門別品名マスタ） （対象データ） 品名コード：00769（国産牛ペニス（冷凍）） ※変更内容については、変更手順参照","①棚卸評価計算書の国産牛ペニス（冷凍）の出来高金額計算グループが経産になっている。 １２月の経産の枝投入が0円のため、国産牛ペニス（冷凍）出来高金額も0円になっている。 国産牛ペニス（冷凍）をホルスのグループに変更する。",""
"VwData_Patch_1_3ALL","49258C3000042207_DFB7E2CE0C6B8C1A49257F32002C9A01","49258C3000042207","DFB7E2CE0C6B8C1A49257F32002C9A01","","請求書の金額訂正","2016/01/06","1-728f25b2283540449d6b15e8988b4297!153-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E8%AB%8B%E6%B1%82%E6%9B%B8%E3%81%AE%E9%87%91%E9%A1%8D%E8%A8%82%E6%AD%A3%7C9f88be83-4f18-4185-97ac-3994621372cd%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E8%AB%8B%E6%B1%82%E6%9B%B8%E3%81%AE%E9%87%91%E9%A1%8D%E8%A8%82%E6%AD%A3&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=9f88be83-4f18-4185-97ac-3994621372cd&end","","done","","2026-04-14T21:54:56","NO_LINK","2016/01/06","1154","岡安 誠史","完了承認済","フード","新販売システム","請求書の金額訂正","40","東日本フード㈱北海道函館","中村","2016/01/06","2016/01/06","請求書の前回請求額が正しくないため、金額の訂正を行います。 ■請求書鑑情報 (FGSBPP) の以下項目を変更 事業所：（0699）函館営業部 取引先：（01304）Ａコープあっさぶ ・前回請求額　　　　　 \30,711　 ⇒ \30,705 ・今回請求商品代金額　　\6　⇒　\0 事業所：（0699）函館営業部 取引先：（01371）Ａコープ知内 ・前回請求額　　　　　 \14,701　 ⇒ \14,700 ・今回請求商品","請求は毎月10日、20日、30日で、40日後に入金の取引先だが、 取引先の都合で、 10日請求→40日後に１日-９日の分が入金、 20日請求→40日後に、10日の分と、11日-19日の分が入金 30日請求→40日後に、20日の分と、21日-30日の分が入金 という運用になっていて、毎回差額があった。 これを、373001「消費税預り金（調整）」373002「消費税預り金（差額）」で調整していた。 差額■",""
"VwData_Patch_1_3ALL","49258C3000042207_7E0524D4E86321EE49257F32002F57F6","49258C3000042207","7E0524D4E86321EE49257F32002F57F6","","NFP)品名マスタ（７項目）","2016/01/06","1-35d8353a9b584c59a5c805161cbe4b59!240-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2FNFP%5C%29%E5%93%81%E5%90%8D%E3%83%9E%E3%82%B9%E3%82%BF%EF%BC%88%EF%BC%97%E9%A0%85%E7%9B%AE%EF%BC%89%7Cb441055f-0576-466b-85d1-ca66e2819bde%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#NFP%29%E5%93%81%E5%90%8D%E3%83%9E%E3%82%B9%E3%82%BF%EF%BC%88%EF%BC%97%E9%A0%85%E7%9B%AE%EF%BC%89&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=b441055f-0576-466b-85d1-ca66e2819bde&end","","done","","2026-04-14T21:55:02","HAS_LINK_UNRESOLVED","2016/01/06","1155","見満 淳一郎","完了承認済","ＮＦＰ","08.マスタ管理（パッカー）","NFP)品名マスタ（７項目）","15","日本ハムビジネスエキスパート㈱","見満","2016/01/06","2016/01/06","「13. パッカー品名マスタ更新チェック」でチェックにひっかかった品名あり。 フードパッカー品名マスタ（PA01DBFNHK/PMM01P)をバックアップを取る。 統合マスタからデータが落ちてきて上書きされたら下の値に戻す。 ＜対象品名＞ ＜パッカー品名＞ PMM01P 品名 品名（カナ） 畜種 製品種別 品種 製品分類 銘柄 部位 グレード   04324 P-ﾚﾊﾞ-ｽﾗｲｽ","本日、食肉で品名マスタ修正申請があり、その中にフードパッカーで使用している品名が存在していた。 本日統合マスタから承認が落ちてくると食肉のデータでマスタの対象項目（製品種別・畜種・品種・銘柄・製品分類・部位・グレード）が 上書きされてしまうため、上書きされた後、元の値に戻す。 関連ＤＢ→",""
"VwData_Patch_1_3ALL","49258C3000042207_9AAF4250DE072DA649257F33000BC048","49258C3000042207","9AAF4250DE072DA649257F33000BC048","","コードテーブル登録（非オンライン事業所コード）","2016/01/07","1-33e8100f603145acadce0f712b39a314!98-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E3%82%B3%E3%83%BC%E3%83%89%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E7%99%BB%E9%8C%B2%EF%BC%88%E9%9D%9E%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BA%8B%E6%A5%AD%E6%89%80%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%89%7C4703dce1-dced-4a81-9641-02f885cffcf2%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E3%82%B3%E3%83%BC%E3%83%89%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB%E7%99%BB%E9%8C%B2%EF%BC%88%E9%9D%9E%E3%82%AA%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%B3%E4%BA%8B%E6%A5%AD%E6%89%80%E3%82%B3%E3%83%BC%E3%83%89%EF%BC%89&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=4703dce1-dced-4a81-9641-02f885cffcf2&end","","done","","2026-04-14T21:55:09","NO_LINK","2016/01/07","1156","岡安 誠史","完了承認済","ＪＦＣ","新販売システム","コードテーブル登録（非オンライン事業所コード）","10","ジャパンＦ．経理部","薄羽","2016/01/07","2016/01/07","取引先：92826（関東日本フード㈱特販部チキン課）がオンライン対象の仕入れ先となっており、 直送仕入売上入力にて仕入先として指定出来ない。実際にはオンラインではないため、 非オンライン事業所として登録する。 コードデータ部定義（FMMCWP）に以下を新規登録する。 コードＩＤ（CWFM349X） ・・・ 'FE838C' コード値（CWFM361S） ・・・ '2826' コード値名称（漢字）","事業所マスターの設定により、オンライン取引先と判断されるが、 実際には、オンライン対象ではない。 コードテーブルに非オンライン事業所コードとして登録する。 ※今回は至急とのことで、久保田さん了承の上、依頼メールで対応した。",""
"VwData_Patch_1_3ALL","49258C3000042207_B634D2FFD86F70A349257F34000D1B8D","49258C3000042207","B634D2FFD86F70A349257F34000D1B8D","","品名申請管理マスタ","2016/01/08","1-3de6a312ed2e4d028d50599cde8ef6c2!143-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E5%93%81%E5%90%8D%E7%94%B3%E8%AB%8B%E7%AE%A1%E7%90%86%E3%83%9E%E3%82%B9%E3%82%BF%7C7939c2e3-61a4-44b6-ba9d-9adc3646eafd%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E5%93%81%E5%90%8D%E7%94%B3%E8%AB%8B%E7%AE%A1%E7%90%86%E3%83%9E%E3%82%B9%E3%82%BF&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=7939c2e3-61a4-44b6-ba9d-9adc3646eafd&end","","done","","2026-04-14T21:55:16","HAS_LINK_UNRESOLVED","2016/01/08","1157","見満 淳一郎","完了承認済","食肉","05.マスタ（食肉）","品名申請管理マスタ","15","事業企画室","脊戸","2016/01/08","2016/01/08","品名申請管理マスタ（SH01DBF/SMT02P）の以下のデータを論理削除する。 ＜対象データ＞ 品名申請管理№ 申請事業所コード 申請日 品名コード 品名（漢字）   040633 0472 　 20,160,107 アメリカ産牛ショウチョウ冷凍","輸入商品部にて誤登録してしまった為",""
"VwData_Patch_1_3ALL","49258C3000042207_C759985DB75BBF6B49257F3400174F13","49258C3000042207","C759985DB75BBF6B49257F3400174F13","","評価計算","2016/01/08","1-f42516673491427594f58508babb02db!195-426b4fd6-9b31-47b0-b03c-a6507871366f","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4?wd=target%28%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one%7Ca745a153-ea3f-4b6e-8f16-9163bfe64932%2F%E8%A9%95%E4%BE%A1%E8%A8%88%E7%AE%97%7Ccbe12b2d-f807-49ec-84ac-254624cd9fbc%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e3%83%87%e3%83%bc%e3%82%bf%e5%bc%b7%e5%88%b6%e5%a4%89%e6%9b%b4/%E3%83%87%E3%83%BC%E3%82%BF%E5%BC%B7%E5%88%B6%E5%A4%89%E6%9B%B4_2016.one#%E8%A9%95%E4%BE%A1%E8%A8%88%E7%AE%97&section-id=a745a153-ea3f-4b6e-8f16-9163bfe64932&page-id=cbe12b2d-f807-49ec-84ac-254624cd9fbc&end","","done","","2026-04-14T21:55:23","NO_LINK","2016/01/08","1158","見満 淳一郎","完了承認済","ＮＰＦ","21.評価計算（ピュア）","評価計算","30","日本ピュアフード管理本部","久保田","2016/01/08","2016/01/08","12月度評価計算のデータ強制変更 ダウンロードデータで、数値が不整合になっている項目の復旧を行う。 １．ＳＱＬにて、工程別品名別受払累計Ｆ （VHC010）の各金額にパッチをあてる。　（3件） ２．ＳＱＬにて、ダウンロードデータ (VAT06P) の在庫金額にパッチをあてる。　（3件） ※手順書がデータ変更依頼書にあり。","ダウンロードデータで、数値が不整合になっている項目の復旧を行う。",""
