"view_name","source_id","replica_id","unid","form","title","doc_date","onenote_page_id","onenote_web_url","onenote_client_url","url_from_error","migration_status","error_message","processed_at","link_resolution_status","documentdate","documentno","entryuser","system","subsystem","syogai_ck","fd_text_1","worktime","status","documentdate_2","replydate","temporary_comp","temporary_plan","parmanet_plan","parmanet_comp","ask","task","measure","fd_id_1","measure_2"
"VwSyogai_11ALL","49258C3000042207_2ABBB6CC2D540DDD4925837900229826","49258C3000042207","2ABBB6CC2D540DDD4925837900229826","","食肉業務帳票 半角ｶﾅ文字化け","2019/01/05","1-d3277ad0da284ad2bc0608db57c14e30!6-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%E9%A3%9F%E8%82%89%E6%A5%AD%E5%8B%99%E5%B8%B3%E7%A5%A8%20%E5%8D%8A%E8%A7%92%EF%BD%B6%EF%BE%85%E6%96%87%E5%AD%97%E5%8C%96%E3%81%91%7Cc7239709-259a-4513-bf90-0f09f52a52e1%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%E9%A3%9F%E8%82%89%E6%A5%AD%E5%8B%99%E5%B8%B3%E7%A5%A8%20%E5%8D%8A%E8%A7%92%EF%BD%B6%EF%BE%85%E6%96%87%E5%AD%97%E5%8C%96%E3%81%91&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=c7239709-259a-4513-bf90-0f09f52a52e1&end","","done","","2026-03-27T03:46:29","HAS_LINK_UNRESOLVED","2019/01/05","3878","小石沢 康子","食肉","08.プリンタＰＣ（食肉）","障害","食肉業務帳票 半角ｶﾅ文字化け","240","完了承認済","2019/01/05","2019/01/07","2019/01/07","2019/01/07","","","","文字化け","暫定","食肉","暫定"
"VwSyogai_11ALL","49258C3000042207_C5B6142BDB6EDC7D49258379002FCD25","49258C3000042207","C5B6142BDB6EDC7D49258379002FCD25","","JFC仕入未確定一部明細","2019/01/05","1-ad20abce27bd4be3bf49140a7a439071!147-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2FJFC%E4%BB%95%E5%85%A5%E6%9C%AA%E7%A2%BA%E5%AE%9A%E4%B8%80%E9%83%A8%E6%98%8E%E7%B4%B0%7C606944e7-ba18-45a7-b91e-5449171f08d7%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#JFC%E4%BB%95%E5%85%A5%E6%9C%AA%E7%A2%BA%E5%AE%9A%E4%B8%80%E9%83%A8%E6%98%8E%E7%B4%B0&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=606944e7-ba18-45a7-b91e-5449171f08d7&end","","done","","2026-03-27T03:46:35","HAS_LINK_UNRESOLVED","2019/01/05","3879","城間 操","食肉","03.仕入（食肉）","警告・定例監視エラー","JFC仕入未確定一部明細","60","完了承認済","2019/01/05","2019/01/08","2019/01/08","2019/01/07","2019/02/18","2019/02/18","","(既知 食肉-25) JFCからのO/L仕入データで未確定が残っている","暫定 恒久","ＪＦＣ 食肉 ＮＷＦ","暫定 恒久"
"VwSyogai_11ALL","49258C3000042207_D8617F181175B6584925837900328EE4","49258C3000042207","D8617F181175B6584925837900328EE4","","帳票出力時｢@@@@@｣が印字される","2019/01/05","1-94967a0c520d4f40b1130132f2ef0109!128-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%E5%B8%B3%E7%A5%A8%E5%87%BA%E5%8A%9B%E6%99%82%EF%BD%A2%40%40%40%40%40%EF%BD%A3%E3%81%8C%E5%8D%B0%E5%AD%97%E3%81%95%E3%82%8C%E3%82%8B%7C6359da98-ddc9-4786-bc36-0af4a7cb8464%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%E5%B8%B3%E7%A5%A8%E5%87%BA%E5%8A%9B%E6%99%82%EF%BD%A2%40%40%40%40%40%EF%BD%A3%E3%81%8C%E5%8D%B0%E5%AD%97%E3%81%95%E3%82%8C%E3%82%8B&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=6359da98-ddc9-4786-bc36-0af4a7cb8464&end","","done","","2026-03-27T03:46:42","HAS_LINK_UNRESOLVED","2019/01/05","3880","小石沢 康子","食肉","08.プリンタＰＣ（食肉）","障害","帳票出力時｢@@@@@｣が印字される","120","完了承認済","2019/01/05","2019/01/08","2019/01/08","2019/01/08","","","","プリンター","暫定","食肉","暫定"
"VwSyogai_11ALL","49258C3000042207_0D82F737E07601C0492583790034F9EE","49258C3000042207","0D82F737E07601C0492583790034F9EE","","TradeFrontで障害(長崎ﾌﾞﾛｲﾗ-)","2019/01/05","1-03e8c2b520b44c7d8785302bb4327532!84-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2FTradeFront%E3%81%A7%E9%9A%9C%E5%AE%B3%28%E9%95%B7%E5%B4%8E%EF%BE%8C%EF%BE%9E%EF%BE%9B%EF%BD%B2%EF%BE%97-%5C%29%7Cea3123be-12cf-4d58-8b5a-2f0d7c7f54ce%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#TradeFront%E3%81%A7%E9%9A%9C%E5%AE%B3%28%E9%95%B7%E5%B4%8E%EF%BE%8C%EF%BE%9E%EF%BE%9B%EF%BD%B2%EF%BE%97-%29&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=ea3123be-12cf-4d58-8b5a-2f0d7c7f54ce&end","","done","","2026-03-27T03:46:48","NO_LINK","2019/01/05","3881","城間 操","食肉","09.その他（食肉）","警告・定例監視エラー","TradeFrontで障害(長崎ﾌﾞﾛｲﾗ-)","20","完了承認済","2019/01/05","2019/01/05","2019/01/05","2019/01/05","","","","(既知 食肉-35) トレーサビリティデータ変換エラー通知","暫定","食肉","暫定"
"VwSyogai_11ALL","49258C3000042207_951A3F3019E7DFF44925837A0081ED79","49258C3000042207","951A3F3019E7DFF44925837A0081ED79","","ﾌｰﾄﾞﾊﾟｯｶｰ諫早 牛豚出荷ﾃﾞｰﾀ受信ｴﾗｰ","2019/01/05","1-c6b9320b6ddd4584a1786d37ffc21dc4!11-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%EF%BE%8C%EF%BD%B0%EF%BE%84%EF%BE%9E%EF%BE%8A%EF%BE%9F%EF%BD%AF%EF%BD%B6%EF%BD%B0%E8%AB%AB%E6%97%A9%20%E7%89%9B%E8%B1%9A%E5%87%BA%E8%8D%B7%EF%BE%83%EF%BE%9E%EF%BD%B0%EF%BE%80%E5%8F%97%E4%BF%A1%EF%BD%B4%EF%BE%97%EF%BD%B0%7C18ae71fb-4557-497a-b87b-fb1b8e594484%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%EF%BE%8C%EF%BD%B0%EF%BE%84%EF%BE%9E%EF%BE%8A%EF%BE%9F%EF%BD%AF%EF%BD%B6%EF%BD%B0%E8%AB%AB%E6%97%A9%20%E7%89%9B%E8%B1%9A%E5%87%BA%E8%8D%B7%EF%BE%83%EF%BE%9E%EF%BD%B0%EF%BE%80%E5%8F%97%E4%BF%A1%EF%BD%B4%EF%BE%97%EF%BD%B0&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=18ae71fb-4557-497a-b87b-fb1b8e594484&end","","done","","2026-03-27T03:46:54","NO_LINK","2019/01/05","3882","城間 操","ＮＦＰ","11.Ｉ／Ｆ（パッカー）","警告・定例監視エラー","ﾌｰﾄﾞﾊﾟｯｶｰ諫早 牛豚出荷ﾃﾞｰﾀ受信ｴﾗｰ","60","完了承認済","2019/01/05","2019/01/07","2019/01/07","2019/01/07","","","","出荷情報受信","暫定","ＮＦＰ","暫定"
"VwSyogai_11ALL","49258C3000042207_182B0EA027D266A44925837B0000A06C","49258C3000042207","182B0EA027D266A44925837B0000A06C","","日次処理情報","2019/01/05","1-14bc10fa46b44314b3fe59587b214ca0!137-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%E6%97%A5%E6%AC%A1%E5%87%A6%E7%90%86%E6%83%85%E5%A0%B1%7C04500790-a17f-47a6-bf2f-9ccd02d796e9%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%E6%97%A5%E6%AC%A1%E5%87%A6%E7%90%86%E6%83%85%E5%A0%B1&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=04500790-a17f-47a6-bf2f-9ccd02d796e9&end","","done","","2026-03-27T03:47:01","HAS_LINK_UNRESOLVED","2019/01/05","3883","髙橋 瑠衣","食肉","07.債権債務（食肉）","警告・定例監視エラー","日次処理情報","10","完了承認済","2019/01/05","2019/01/07","2019/01/07","2019/01/07","","","","日次処理","暫定","食肉","暫定"
"VwSyogai_11ALL","49258C3000042207_4E5B8F59AD2666874925837B008289C0","49258C3000042207","4E5B8F59AD2666874925837B008289C0","","日次処理情報","2019/01/08","1-908dd072aac845f5bbb03b3f520fa90b!184-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%E6%97%A5%E6%AC%A1%E5%87%A6%E7%90%86%E6%83%85%E5%A0%B1%7C74fd7d4a-ad5f-49e4-ae26-e9843363e31d%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%E6%97%A5%E6%AC%A1%E5%87%A6%E7%90%86%E6%83%85%E5%A0%B1&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=74fd7d4a-ad5f-49e4-ae26-e9843363e31d&end","","done","","2026-03-27T03:47:07","HAS_LINK_UNRESOLVED","2019/01/08","3884","小石沢 康子","食肉","07.債権債務（食肉）","警告・定例監視エラー","日次処理情報","10","完了承認済","2019/01/08","2019/01/08","2019/01/08","2019/01/08","","","","日次処理","暫定","食肉","暫定"
"VwSyogai_11ALL","49258C3000042207_480A2CD9294C31824925837C00006804","49258C3000042207","480A2CD9294C31824925837C00006804","","(NEWS)ﾊﾞｯｸｱｯﾌﾟ失敗","2019/01/08","1-9054be50fac0439ab8240b91002fd444!31-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%28NEWS%5C%29%EF%BE%8A%EF%BE%9E%EF%BD%AF%EF%BD%B8%EF%BD%B1%EF%BD%AF%EF%BE%8C%EF%BE%9F%E5%A4%B1%E6%95%97%7Cf63c5ece-436b-43f0-944e-9803d62b20af%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%28NEWS%29%EF%BE%8A%EF%BE%9E%EF%BD%AF%EF%BD%B8%EF%BD%B1%EF%BD%AF%EF%BE%8C%EF%BE%9F%E5%A4%B1%E6%95%97&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=f63c5ece-436b-43f0-944e-9803d62b20af&end","","done","","2026-03-27T03:47:14","NO_LINK","2019/01/08","3885","小石沢 康子","食肉(NEWS)","05.サーバー／ＰＣ関連(NEWS)","警告・定例監視エラー","(NEWS)ﾊﾞｯｸｱｯﾌﾟ失敗","15","完了承認済","2019/01/08","2019/01/09","2019/01/09","2019/01/09","","","","ｻｰﾊﾞｰ/PC関連","暫定 恒久","食肉","暫定 恒久"
"VwSyogai_11ALL","49258C3000042207_BE432F25025F671D4925837C000BF20A","49258C3000042207","BE432F25025F671D4925837C000BF20A","","ｾｯﾄ振分取込ｴﾗｰ","2019/01/08","1-0ce2ffec375641deaac1b6b0a4267e9e!13-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%EF%BD%BE%EF%BD%AF%EF%BE%84%E6%8C%AF%E5%88%86%E5%8F%96%E8%BE%BC%EF%BD%B4%EF%BE%97%EF%BD%B0%7C2d72884f-0654-495d-a3ef-03fc141462ff%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%EF%BD%BE%EF%BD%AF%EF%BE%84%E6%8C%AF%E5%88%86%E5%8F%96%E8%BE%BC%EF%BD%B4%EF%BE%97%EF%BD%B0&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=2d72884f-0654-495d-a3ef-03fc141462ff&end","","done","","2026-03-27T03:47:20","NO_LINK","2019/01/08","3886","竹内 典男","フード","新販売システム","障害","ｾｯﾄ振分取込ｴﾗｰ","","完了承認済","2019/01/08","2019/01/09","2019/01/09","2019/01/08","","","","受払","暫定","","暫定"
"VwSyogai_11ALL","49258C3000042207_A722338B36A3D6914925837C002CC571","49258C3000042207","A722338B36A3D6914925837C002CC571","","(生肉発注)発注明細CSV作成で一部項目がﾌﾞﾗﾝｸ","2019/01/08","1-bddf3829f05e4c83a015e020b9a6a514!35-62975ca4-1bb3-4f85-a126-07f92b862133","https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB?wd=target%28%E9%9A%9C%E5%AE%B3DB_2019.one%7C3bf78a09-5a22-452c-a7ba-14660267e3e4%2F%28%E7%94%9F%E8%82%89%E7%99%BA%E6%B3%A8%5C%29%E7%99%BA%E6%B3%A8%E6%98%8E%E7%B4%B0CSV%E4%BD%9C%E6%88%90%E3%81%A7%E4%B8%80%E9%83%A8%E9%A0%85%E7%9B%AE%E3%81%8C%EF%BE%8C%EF%BE%9E%EF%BE%97%EF%BE%9D%EF%BD%B8%7Cf6934b3d-6d9d-444e-a53e-e86d7681a20c%2F%29","onenote:https://nipponham86.sharepoint.com/sites/meat-sys-knowledge/Shared%20Documents/OneNote/%e9%9a%9c%e5%ae%b3DB/%E9%9A%9C%E5%AE%B3DB_2019.one#%28%E7%94%9F%E8%82%89%E7%99%BA%E6%B3%A8%29%E7%99%BA%E6%B3%A8%E6%98%8E%E7%B4%B0CSV%E4%BD%9C%E6%88%90%E3%81%A7%E4%B8%80%E9%83%A8%E9%A0%85%E7%9B%AE%E3%81%8C%EF%BE%8C%EF%BE%9E%EF%BE%97%EF%BE%9D%EF%BD%B8&section-id=3bf78a09-5a22-452c-a7ba-14660267e3e4&page-id=f6934b3d-6d9d-444e-a53e-e86d7681a20c&end","","done","","2026-03-27T03:47:27","NO_LINK","2019/01/08","3887","小石沢 康子","その他","09.その他（食肉）","障害","(生肉発注)発注明細CSV作成で一部項目がﾌﾞﾗﾝｸ","120","完了承認済","2019/01/08","2019/01/15","2019/01/15","2019/01/15","","","","生肉発注システム","暫定","食肉","暫定"
