ViewName,ColumnIndex,ColumnTitle,ItemName,Formula,IsCategory,IsHidden
"Vw_Data_Patch_1_3ALL","1","","DocumentDate","","1","0"
"Vw_Data_Patch_1_3ALL","2","No.","DocumentNo","DocumentNo","0","0"
"Vw_Data_Patch_1_3ALL","3","入力者","EntryUser","EntryUser","0","0"
"Vw_Data_Patch_1_3ALL","4","状況","Status","Status","0","0"
"Vw_Data_Patch_1_3ALL","5","分類２","System","System","0","0"
"Vw_Data_Patch_1_3ALL","6","分類３","SubSystem","SubSystem","0","0"
"Vw_Data_Patch_1_3ALL","7","件名","Fd_Text_1","","0","0"
"Vw_Data_Patch_1_3ALL","8","分数","WorkTime","WorkTime","0","0"
"Vw_Data_Patch_1_3ALL","9","依頼部署","Ask","Ask","0","0"
"Vw_Data_Patch_1_3ALL","10","依頼担当者","AskUser","AskUser","0","0"
"Vw_Data_Patch_1_3ALL","11","開始日","DocumentDate","DocumentDate","0","0"
"Vw_Data_Patch_1_3ALL","12","終了日","ReplyDate","ReplyDate","0","0"
"Vw_Data_Patch_1_3ALL","13","内容","DetailSubject","","0","0"
"Vw_Data_Patch_1_3ALL","14","原因・理由","ReasonSubject_1","","0","0"
