field_name,field_type,kind,allowmultivalues,occurrences,placed_on_form_body,has_hidewhen,hidden_modes,likely_displayed
acc_main,keyword,editable,,1,True,False,,高い(画面配置あり)
acc_name,text,computed,true,1,True,False,,高い(画面配置あり)
access_no,number,editable,,1,True,False,,高い(画面配置あり)
ADATE_D_2,number,editable,,1,True,False,,高い(画面配置あり)
ADATE_M_2,number,editable,,1,True,False,,高い(画面配置あり)
ADATE_Y_2,number,editable,,1,True,False,,高い(画面配置あり)
ADDRESS1,text,editable,,1,True,False,,高い(画面配置あり)
ADDRESS2,text,editable,,1,True,False,,高い(画面配置あり)
ADDRESS3,text,editable,,1,True,False,,高い(画面配置あり)
ADID,text,editable,,1,True,False,,高い(画面配置あり)
answer,text,editable,,1,True,False,,高い(画面配置あり)
ATIME_H_2,text,editable,,1,True,False,,高い(画面配置あり)
ATIME_M_2,text,editable,,1,True,False,,高い(画面配置あり)
BIKOU,text,editable,,1,True,False,,高い(画面配置あり)
body,richtext,editable,,1,True,False,,高い(画面配置あり)
body_1,richtext,editable,,1,True,False,,高い(画面配置あり)
BROWSER,keyword,editable,true,1,True,False,,高い(画面配置あり)
BUMON,text,editable,,1,True,False,,高い(画面配置あり)
category1,keyword,editable,,1,True,False,,高い(画面配置あり)
category2,keyword,editable,,1,True,False,,高い(画面配置あり)
category3,text,editable,,1,True,False,,高い(画面配置あり)
category4,text,editable,,1,True,False,,高い(画面配置あり)
category5,keyword,editable,,1,True,False,,高い(画面配置あり)
category6,text,editable,,1,True,False,,高い(画面配置あり)
CDATE_D_2,number,editable,,1,True,False,,高い(画面配置あり)
CDATE_M_2,number,editable,,1,True,False,,高い(画面配置あり)
CDATE_Y_2,number,editable,,1,True,False,,高い(画面配置あり)
CloseDateTime,text,editable,,1,True,False,,高い(画面配置あり)
create_Dept,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
create_name,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
CreateDateTime,datetime,computedwhencomposed,,1,True,False,,高い(画面配置あり)
CreateDateTime_P,text,computedwhencomposed,,1,True,False,,高い(画面配置あり)
CTIME_H_2,text,editable,,1,True,False,,高い(画面配置あり)
CTIME_M_2,text,editable,,1,True,False,,高い(画面配置あり)
CustomDBName,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
CustomDBName_1,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
customercompanycd,text,editable,,1,True,False,,高い(画面配置あり)
customerID,text,editable,,1,True,False,,高い(画面配置あり)
customerkeitai,text,editable,true,1,True,False,,高い(画面配置あり)
customername,text,editable,true,1,True,False,,高い(画面配置あり)
customername_1,text,editable,true,1,True,False,,高い(画面配置あり)
customername_2,text,editable,true,1,True,False,,高い(画面配置あり)
customerno,text,editable,,1,True,False,,高い(画面配置あり)
CYU1,keyword,editable,,1,True,False,,高い(画面配置あり)
DblookupID_1_1_1,text,editable,,1,True,False,,高い(画面配置あり)
DblookupID_1_1_2,text,editable,,1,True,False,,高い(画面配置あり)
DblookupID_1_1_3,text,editable,,1,True,False,,高い(画面配置あり)
DblookupID_1_1_4,text,editable,,1,True,False,,高い(画面配置あり)
DblookupID_1_1_4_1,text,editable,,1,True,False,,高い(画面配置あり)
DbLookupServer,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
DbLookupServer_1,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
DbLookupServer_2,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
DbLookupServer_2_1,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
DbLookupServer_3,text,computedfordisplay,,1,True,False,,高い(画面配置あり)
dispach,text,computed,,1,True,False,,高い(画面配置あり)
dispach_1,text,computed,,1,True,False,,高い(画面配置あり)
EDATE_D,number,editable,,1,True,False,,高い(画面配置あり)
EDATE_D_2,number,editable,,1,True,False,,高い(画面配置あり)
EDATE_M,number,editable,,1,True,False,,高い(画面配置あり)
EDATE_M_2,number,editable,,1,True,False,,高い(画面配置あり)
